Finny_GLCode;Finny_GLDescription;BalanceTypeCode;BalanceTypeDescription;GLClassificationCode_RGS versie 3.5;GLClassificationDescr_RGS versie 3.5Description;GLAccountClass_01;GLAccClassDesc_01Description
4011;Kosten spaarloon;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4012;Mutatie pensioenvoorziening;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4013;Oprenting reserve uitgesteld salaris;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4014;Mutatie reservering 2;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4015;Mutatie reservering 3;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4016;Mutatie reservering 4;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4017;Eindheffingen;W;Winst & Verlies;;;WPer;Lasten uit hoofde van personeelsbeloningen
4020;Doorbelaste loonkosten 1;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4021;Doorbelaste loonkosten 2;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4022;Doorbelaste loonkosten 3;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4023;Doorbelaste loonkosten 4;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4024;Doorbelaste loonkosten 5;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4030;Onkostenvergoedingen personeel;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4034;Kilometervergoeding personeel;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4035;Reiskostenvergoedingen personeel;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4036;Onbelaste vergoedingen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4037;Bijdrage leaseauto;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4038;Inhouding diversen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4039;Premiekorting;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4040;Kosten Arbodienst;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4045;Verzekeringen personeel;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4050;Kantinekosten;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4060;Ziekengeldverzekering;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4070;Opleidingskosten personeel;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
